구분,월요일(03/20),화요일(03/21),수요일(03/22),목요일(03/23),금요일(03/24),토요일(03/25),일요일(03/26)
중식,한식,"필라프
닭다리오븐구이
단무지
요구르트","함박스테이크
생선까스*타르소스
야채샐러드
단무지","가츠동
쥬시쿨
단무지","돈육김치덮밥
고로케*케찹
단무지
고구마맛탕","부대찌개
청포묵김가루무침
파인애플",,
740Kcal,810Kcal,780Kcal,720Kcal,780Kcal,,
11:00~13:30,11:00~13:30,11:00~13:30,11:00~13:30,11:00~13:30,,
"     4,000원","     4,000원","     4,000원","     4,000원","     4,000원",,
특식,"설렁탕*소면
메밀전병
콩나물무침
오징어젓갈
깍두기","부대찌개
생선까스*타르소스
돼지고기마늘쫑볶음
봄동겉절이
망고푸딩젤리
깍두기","소고기미역국
제육김치볶음
두부찜
진미채조림
치커리생채
깍두기","반계탕*죽
고로케*케찹
오이생채
김치
고구마맛탕","단호박카레라이스
꼬치어묵국
고추마요만두강정
로제떡볶이
김치",,
780Kcal,760Kcal,750Kcal,860Kcal,720Kcal,,
11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,,
"     5,500원","     5,500원","     5,500원","     5,500원","     5,500원",,
석식,학생석식,"제육야채덮밥
콩나물무침
깍두기","돼지고기김치찌개
비엔나조림
도시락김","볶음우동
타코야끼
단무지
파인애플","소고기장터국밥
미역줄기볶음
무생채","마파두부덮밥
곰돌이치킨까스
우동국물
단무지",,
750Kcal,830Kcal,720Kcal,720Kcal,780Kcal,,
17:00~18:30,17:00~18:30,17:00~18:30,17:00~18:30,17:00~18:30,,
"     4,000원","     4,000원","     4,500원","     4,000원","     4,000원",,
석식,"어묵우동
고구마등심돈까스
야채샐러드
단무지
요구르트","오징어무국
안동찜닭
연두부양념장
참나물무침
김치
요플레","산채비빔밥*계란후라이
배추된장국
제육볶음
김치
파인애플","돈육고추장찌개
버섯불고기
계란찜
미역줄기볶음
무생채
김치","계란감자탕
닭갈비야채볶음
브로콜리버섯볶음
양념깻잎지
깍두기
황도",,
720Kcal,740Kcal,740Kcal,760Kcal,750Kcal,,
17:00~18:30,17:00~18:30,17:00~18:30,17:00~18:30,17:00~18:30,,
"     5,500원","     5,500원","     5,500원","     5,500원","     5,500원",,
공지사항,
