구분,월요일(05/01),화요일(05/02),수요일(05/03),목요일(05/04),금요일(05/05),토요일(05/06),일요일(05/07)
중식,한식,"대만식돼지고기덮밥
계란후라이
감자샐러드
깍두기
망고주스","치즈등심돈가스
쥬시쿨
야채샐러드
단무지","돈육김치덮밥
고로케*케찹
단무지","닭갈비야채덮밥
핫도그*케찹
황도","어린이날
운영없음",,
740Kcal,810Kcal,780Kcal,720Kcal,780Kcal,,
11:00~13:30,11:00~13:30,11:00~13:30,11:00~13:30,11:00~13:30,,
"     4,000원","     4,500원","     4,000원","     4,000원","     4,000원",,
특식,"나가사끼짬뽕
꿔바로우탕수육
감자샐러드
단무지
망고주스","취나물밥*양념장
냉이된장찌개
제육볶음
부추생채
도시락김
김치","(뚝)육개장
고등어조림
꽃맛살샐러드
청경채나물
김치","콩나물국
소고기버섯볶음
핫도그*케찹
쑥갓나물
김치
황도","어린이날
운영없음",,
780Kcal,760Kcal,750Kcal,860Kcal,720Kcal,,
11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,,
"     5,500원","     5,500원","     5,500원","     5,500원","     5,500원",,
석식,학생석식,"짜장덮밥
만두탕수
단무지","황태콩나물국
미트볼케찹조림
깍두기","함박스테이크
생선가스
야채샐러드
단무지
파인애플","돈육김치찌개
찐만두
도시락김","어린이날
운영없음",,
750Kcal,830Kcal,720Kcal,720Kcal,780Kcal,,
17:00~18:30,17:00~18:30,17:00~18:30,17:00~18:30,17:00~18:30,,
"     4,000원","     4,000원","     4,000원","     4,000원","     4,000원",,
석식,"버섯매운탕
찜닭
만두탕수
청포묵김가루무침
콩자반
김치","브로콜리카레라이스
그릴소시지
어묵국
미트볼케찹조림
깍두기
바나나","떡국
오삼야채볶음
연근조림
미카로니샐러드
깍두기
요구르트","홍합탕
데리야끼파닭
찐만두
단호박샐러드
진미채조림
김치","어린이날
운영없음",,
720Kcal,740Kcal,740Kcal,760Kcal,750Kcal,,
17:00~18:30,17:00~18:30,17:00~18:30,17:00~18:30,17:00~18:30,,
"     5,500원","     5,500원","     5,500원","     5,500원","     5,500원",,
공지사항,
